batch_id;consumed_at;consumed_by_store_id;created_at;id;partner_id;revoked_at;revoked_by;status
70751b7f-905c-4289-88fd-31d20e43ce8c;;;2026-06-18 16:28:28.580603+00;fb0fa110-3da8-40ba-a9b7-614e9945b6ea;962a5ece-5a35-4d25-99c1-65b804881c0d;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;6f74eb14-d7e5-4f5c-9a5d-1f332f81a2ad;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;2f0b9b82-6d34-4ea7-b85b-181176c6402a;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;c27d12e9-fcec-4556-a386-1db6a8d30626;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;a24c1c0b-b757-4ae0-ad76-6df97e0537fb;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;dd73f88c-adae-4ab1-bff0-c4f9718eb707;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;d50c6a89-6681-42a4-9c40-199a2a4e0816;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;5c9faf99-ecec-4ef6-9cfc-8470eb98815c;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;19d06f2d-f0b0-4634-8232-3c2550aa9314;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;;;2026-07-03 09:16:39.073743+00;5ca68191-85c5-441f-8040-5a2b1e5f00d9;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;available
72578a16-7b2c-4c9c-ba12-b3cc6d55bc18;2026-07-03 09:19:23.563657+00;;2026-07-03 09:16:39.073743+00;d5121da6-3b1b-4f28-aaf1-80281049ad87;e3812bb9-6a24-4c97-9c2f-9d713d459bff;;;consumed
