billing_cycle;blocked_notified_at;cancelled_at;created_at;current_period_end;current_period_start;expiry_notified_at;grace_period_end;grace_warning_notified_at;id;is_blocked;last_renewal_reminder_at;pending_plan;pending_plan_effective_at;plan;razorpay_plan_id;razorpay_subscription_id;status;store_id;updated_at
monthly;;2026-05-23 04:21:30.336+00;2026-04-16 13:57:23.219152+00;;;;;;1a4fde06-d2c2-4a33-a80c-d0ce04c9cc2d;false;;;;free;;;cancelled;309b2d56-2ed2-4705-b762-b80c8774bda6;2026-05-23 04:21:31.073252+00
monthly;;;2026-05-17 23:15:22.884498+00;2027-05-18 07:28:56.329734+00;2026-05-18 07:28:56.329734+00;;;;c0703059-e33a-4ba8-b1fc-9737e49d6be5;false;;;;growth;;;active;6cdeb4fd-d936-4241-bf7d-f3843048a703;2026-05-18 07:28:56.329734+00
monthly;;2026-05-23 04:41:18.294+00;2026-05-19 17:18:49.696324+00;;;;;;29ed8ba2-4237-43ed-adbe-df09cdda8f8f;false;;;;free;;;cancelled;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;2026-05-23 04:41:19.38586+00
monthly;;;2026-05-20 18:45:01.027539+00;;;;;;b0cf2897-2663-4228-b13e-c310f601c256;false;;;;free;;;active;d2b27614-f24d-42d6-9f49-a87df7443e0e;2026-05-20 18:45:01.027539+00
monthly;;;2026-05-20 19:01:13.104663+00;;;;;;1ff5b4f6-a20d-4459-90ed-94f72e9e0f52;false;;;;free;;;active;b3b3c0e9-403c-4355-aa76-f7b9c35a0bdc;2026-05-20 19:01:13.104663+00
monthly;;;2026-05-21 07:14:22.377998+00;;;;;;c7883f64-6336-4679-8b54-2af2645499dc;false;;;;free;;;active;25f81744-8f50-4795-a675-0df8386e07b4;2026-05-21 07:14:22.377998+00
monthly;;;2026-05-24 07:57:49.282233+00;;;;;;ddd0f9ad-203a-4d7e-888a-b156421198ff;false;;;;free;;;active;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;2026-05-24 07:57:49.282233+00
monthly;;;2026-05-24 08:29:53.235215+00;;;;;;861f7aa9-34b5-4fc8-9cb5-02f308b61b93;false;;;;free;;;active;a4c8b82c-24e1-4555-9855-c9ce4bc5965d;2026-05-24 08:29:53.235215+00
monthly;;;2026-05-24 17:49:42.87264+00;;;;;;f6560cb6-9546-4879-8a66-7e78b72d2174;false;;;;free;;;active;400b4b21-1e5f-40e0-bbe4-1366763b110e;2026-05-24 17:49:42.87264+00
monthly;;;2026-05-25 07:10:25.490778+00;;;;;;300c5a2c-79a5-42c1-a767-c65efc10104d;false;;;;free;;;active;5d0e9d32-975d-4b39-a347-0fd2dea3ceda;2026-05-25 07:10:25.490778+00
monthly;;;2026-05-25 16:05:11.27941+00;;;;;;b7ae74c1-78c9-4276-bc16-137138f4bffc;false;;;;free;;;active;78f7af87-dee0-42dd-9554-08639d80353f;2026-05-25 16:05:11.27941+00
monthly;;;2026-05-26 09:03:27.973503+00;;;;;;60cb407c-6f10-4aa9-b680-a81ebdf3d917;false;;;;free;;;active;9d6f2384-af2c-45f1-96ed-8e597aca2f4c;2026-05-26 09:03:27.973503+00
monthly;;;2026-05-26 15:07:55.878587+00;;;;;;6dc29438-0659-4a72-9d75-eab8ff5d88d7;false;;;;free;;;active;8f17db86-5359-4f34-aa42-b24d6204fcf2;2026-05-26 15:07:55.878587+00
monthly;;;2026-05-26 16:45:47.149375+00;;;;;;de2494cf-90e5-4a13-bd85-664058236bfe;false;;;;free;;;active;b839485d-2c77-4d9d-8a32-631bbcdf10cd;2026-05-26 16:45:47.149375+00
monthly;;;2026-05-29 09:54:19.944942+00;;;;;;5daac5aa-8dc4-4939-8d7d-5d856b3fcf4f;false;;;;free;;;active;b4da479a-225a-4b48-8fda-b131183d9dc4;2026-05-29 09:54:19.944942+00
monthly;;;2026-06-02 03:38:52.615116+00;;;;;;deea34ea-e4a3-4e1f-9a1e-fec24b033861;false;;;;free;;;active;27ad5816-5195-4d61-8438-e0190addc761;2026-06-02 03:38:52.615116+00
monthly;;;2026-06-02 09:53:17.691292+00;;;;;;1922295a-46d5-4823-9773-2b9258592443;false;;;;free;;;active;17fc6fa6-1d54-4bd9-9795-39ff472f151c;2026-06-02 09:53:17.691292+00
monthly;;;2026-06-08 09:21:17.596527+00;;;;;;60ca830a-5c11-414d-80dd-a56583c84ffe;false;;;;free;;;active;b19973d6-bdfc-45c7-8e7e-a64ffe5ae6c1;2026-06-08 09:21:17.596527+00
monthly;;;2026-06-12 08:22:30.567184+00;;;;;;a14745cb-94d3-494e-ad82-b5bfa437ae07;false;;;;free;;;active;a72ad055-45ae-4a0a-9f90-b268ef6da982;2026-06-12 08:22:30.567184+00
monthly;;;2026-06-13 13:17:16.410076+00;2099-12-31 23:59:59+00;2026-06-29 08:13:27.696114+00;;;;40d9e73c-fe76-4c4b-8666-36aed721c8d2;false;;;;scale;plan_SsfxrfwAVIwcd5;;active;d9af8911-7c81-4008-99c7-97c6a57a9261;2026-06-29 08:13:27.696114+00
monthly;;;2026-06-18 16:32:57.694798+00;;;;;;2ebc5d20-5853-42f6-9078-3f8944055fae;false;;;;free;;;active;9a89bacb-121b-4515-9956-201377e9c8eb;2026-06-18 16:32:57.694798+00
monthly;;;2026-06-21 07:05:42.729174+00;2099-12-31 23:59:59+00;2026-06-22 08:37:14.87354+00;;;;6ffd8d8f-2e7a-4ef1-bd8f-7b45d2be6fd8;false;;;;scale;plan_SsfxrfwAVIwcd5;;active;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3;2026-06-22 08:37:14.87354+00
monthly;;;2026-06-27 14:00:38.475258+00;;;;;;8d47469e-a7d8-47e2-8da1-678d3c21cb97;false;;;;free;;;active;1929a8ef-880e-472e-adbb-743c78218084;2026-06-27 14:00:38.475258+00
monthly;;;2026-07-07 07:11:14.841142+00;;;;;;330bb365-0fd1-46dd-a02b-0877843009c9;false;;;;free;;;active;a1766301-4cb4-4d3c-8f7f-ebdb87b3668b;2026-07-07 07:11:14.841142+00
monthly;;;2026-07-07 11:36:12.854357+00;;;;;;6f78843f-0063-4da6-afc9-af418bfc46f1;false;;;;free;;;active;641a27a9-a9f9-43be-a5b7-237f28ddda56;2026-07-07 11:36:12.854357+00
