created_at;id;is_default;name;store_id
2026-05-19 19:30:15.172996+00;63a2f571-b2b1-4393-9edc-736b7f5d8c1e;true;Rent;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;a0a0099e-b496-45c7-95ac-a3617449c365;true;Rent;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;6da16324-a2a1-45eb-b973-a9a6d138d4a3;true;Rent;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;2487e833-e0bd-4dc5-98f9-3a523fa46efb;true;Salary & Wages;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;ee741eed-24b5-4258-8a45-f1a5723f6e44;true;Salary & Wages;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;8b163090-0345-42bb-8d04-f738494cfe41;true;Salary & Wages;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;b2dd9e7a-1349-4aff-8b2c-0a3332bb25c5;true;Electricity;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;d449c392-0f98-4d0d-85f3-a626e2894822;true;Electricity;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;7e86aebe-f3c9-4366-9efb-2f53f05b2264;true;Electricity;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;ba199466-e796-4314-a994-d86ddf1d799f;true;Gas/Fuel;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;407fc2b5-afde-463e-8428-f10375cf2816;true;Gas/Fuel;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;17d40e39-d1b7-4c6a-9e20-cc0ce7122057;true;Gas/Fuel;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;bcdb16f5-f9a6-42ee-b8cb-c7afbb92f16f;true;Internet/Phone;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;796ca5d8-8d50-4da3-b744-0dea539b32d0;true;Internet/Phone;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;2e23e5d6-af25-4d26-a7e0-d9f5f7a2a3fb;true;Internet/Phone;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;5094d388-2948-4611-bf4b-3c994980e3ea;true;Marketing;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;f4c20367-8ed7-44f8-a6a8-21c200ed79e8;true;Marketing;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;cd4ead66-ea80-42f2-9d12-01c4dbb81d30;true;Marketing;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;b0fb8bdf-f98a-494a-b26f-0573218caa7c;true;Packaging;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;5b88cc26-c86b-44f7-843c-816c34f44f2b;true;Packaging;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;d31625b6-7a21-4d11-b11f-6ebfc453c742;true;Packaging;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;56a8b65a-b845-4348-9341-f878b7e854e5;true;Repairs;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;7b2cccea-25c4-4d99-ab85-9bcac9c1c709;true;Repairs;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;00b10e11-756e-4a0f-baed-99cf71671338;true;Repairs;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;e64fd34d-4122-4696-95f8-3e05f11b5fbf;true;Transport;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;4c27991a-75a9-42aa-825e-ee350ed2baa3;true;Transport;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;5d2db29a-975b-412a-9ac8-f6073100e75b;true;Transport;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;fd9bd66a-269c-40ec-8282-7099206ba267;true;Bank charges;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;9ae72013-c019-4a4e-8fa9-b852b76193e7;true;Bank charges;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;d53baf95-387a-4d91-9bbe-61bd77f54e99;true;Bank charges;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 19:30:15.172996+00;178f01b0-c3b5-406e-b8fd-652cdf5911ca;true;Other;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-05-19 19:30:15.172996+00;824fded2-f560-45e9-a188-46799aa52ee8;true;Other;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-19 19:30:15.172996+00;abe555bd-77d1-461c-a2ca-160881fd1e4b;true;Other;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
