id;role;user_id
e6930e94-1506-49b8-95cf-ce7cfb90f0bb;seller;c824674a-59b4-4605-956b-277393b6f62c
c8e6ee97-378a-4465-be14-d3e7c6e6377e;admin;c824674a-59b4-4605-956b-277393b6f62c
f37044da-75ea-4658-8f07-3c0dfdf9b166;seller;fabf6197-20f5-47bd-b20c-79c5c999e70a
6c175200-d46f-478e-a76a-93712306171e;seller;0cbacd96-ce64-4d14-a9a2-6586f562eaa7
1b96f4f0-1c01-4911-8e94-b5eb83b46111;customer;e074be4f-2adc-4cec-8d50-3702c1ee7a1e
cf9d75de-cc13-4525-8e4a-6c075c939a8e;admin;aa1fa64a-9b2f-4cf7-bbd3-3bb7849f595b
d1cf81ce-95e4-4dd4-94ba-4a3582c1fb3d;seller;b5c87c6a-f704-4fb6-8cc7-cc9b5bd43c44
f136bc67-4ea5-43f5-a146-11539f5de6f8;seller;502e1574-4111-470c-bc60-726abfd6fefd
c33c46ad-d6ce-44b9-8f53-ce9b2d1e94e5;seller;c5745d39-964b-4bc7-9bb0-1362c6962280
ec5e9fe8-58c2-4f96-8758-08136a735011;seller;87e8f551-168f-49a4-a77f-06d92532d398
2824f96a-3e5c-45be-9bee-46a38ba2e738;seller;b1fcbd7c-ba31-4480-909a-bb04a62ea154
c3754782-b7e6-4939-91f9-9ae517224e3a;customer;28045561-0e7f-4f4e-a218-77350484ca28
d0db8068-f9df-4dbc-bbdb-7786a92ba3c1;seller;7a8bdd72-d1fb-4e83-9184-ffba5911b7d2
360578d0-b631-41cc-806f-135af8bc9fc0;customer;7dd657c8-9819-4fac-a253-8bf7646a4f14
365dfc81-af20-4831-bbb0-6f7b533e6ebf;seller;47a70fd7-42ae-4a0c-b0dd-506ff8c3d491
9966886d-aedf-405a-99e0-976ac2534130;seller;93a3a203-a0f0-42e6-90c9-611b8de9c0fe
6fb786bc-1424-4b65-b1da-e8fa78ad9557;seller;d567a336-7c02-4916-b8f0-37dfb182de67
e7c91a0c-7c46-4562-86ec-4e89a523cfdd;seller;c1f1781d-d36c-4f22-b965-75651050128c
a73220b5-aaf8-4219-8411-627050e63e73;seller;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
6640a9e6-41c7-480b-a00a-b6d6461543dd;customer;fa205b4b-c365-4dc1-a3fe-814bccce94ee
914ae118-1e53-4c56-8fae-c5601b285252;seller;5438b97d-2500-416d-bf79-ec0bd8c13893
cb50d863-8c49-4594-9834-c92c25b4fcd5;seller;a810eaf4-5c7f-4df4-92b9-83390ef08221
518b9b64-888d-4ac5-bf79-aa064216425c;customer;114df24a-0ea7-4bce-8787-a0896b1bb711
7a2e2fd5-1c36-4a44-a274-3e9298932c3a;customer;d6a63090-6b59-4331-b6b9-6f67327d0406
3b39500a-be08-4c35-a703-3a141b5033a7;seller;bf6a8e72-9665-4b7c-b1c1-2d3f4de88cc9
c172fc2a-3b30-4fe8-849a-53f2a2135e3c;seller;e8483dcb-b9af-4770-a245-5b1818f0962b
2822f653-0efd-4e7f-90ec-14502a9ed61a;seller;df38920b-96ac-42bf-a5cd-793342b36dc9
766d7df8-3a1f-44ec-bf0f-6d5594c9ca59;seller;643279c5-710d-4b93-a02d-e85af193c1fd
43c338b0-4ea2-4219-b728-4f0eb70bf05d;seller;8cd6890d-68c5-4557-8d29-9eb558fd611c
