created_at;description;id;image_url;name;parent_id;sort_order;store_id
2026-05-19 17:26:04.652983+00;;56225806-ec54-4d8e-a557-e78fb8cfa36b;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/e8483dcb-b9af-4770-a245-5b1818f0962b/categories/d7ad0003-f8c1-4271-80aa-cfc42c1d25e4/56225806-ec54-4d8e-a557-e78fb8cfa36b-1779380804910.jpeg;Coffee;;0;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 17:26:11.862512+00;;d8a8e920-cd47-4c5e-a16b-db44a4916d7e;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/e8483dcb-b9af-4770-a245-5b1818f0962b/categories/d7ad0003-f8c1-4271-80aa-cfc42c1d25e4/d8a8e920-cd47-4c5e-a16b-db44a4916d7e-1779379350324.jpg;Sandwitches;;0;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-19 17:26:46.218415+00;;56911484-af2f-4677-a047-04bdb821f862;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/e8483dcb-b9af-4770-a245-5b1818f0962b/categories/d7ad0003-f8c1-4271-80aa-cfc42c1d25e4/56911484-af2f-4677-a047-04bdb821f862-1779379364137.jpg;Croissant;;0;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-23 02:47:06.734424+00;;09b3d5f9-38c5-4837-a226-dddc510aeb0f;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/e8483dcb-b9af-4770-a245-5b1818f0962b/categories/d7ad0003-f8c1-4271-80aa-cfc42c1d25e4/09b3d5f9-38c5-4837-a226-dddc510aeb0f-1779504838992.jpg;Grill Sandwiches;d8a8e920-cd47-4c5e-a16b-db44a4916d7e;0;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-23 02:47:28.852598+00;;22a0fd56-3dfe-4bb5-a23c-7f9a6933331f;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/e8483dcb-b9af-4770-a245-5b1818f0962b/categories/d7ad0003-f8c1-4271-80aa-cfc42c1d25e4/22a0fd56-3dfe-4bb5-a23c-7f9a6933331f-1779504905613.png;Plain Veg Sandwiches;d8a8e920-cd47-4c5e-a16b-db44a4916d7e;0;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-24 05:38:30.68113+00;;60df4692-afc4-45a3-9acc-3cf66b14f434;https://qxeyndsvkfsmkilkzmuc.supabase.co/storage/v1/object/public/store-assets/e8483dcb-b9af-4770-a245-5b1818f0962b/categories/d7ad0003-f8c1-4271-80aa-cfc42c1d25e4/60df4692-afc4-45a3-9acc-3cf66b14f434-1779601166331.jpg;Tea;;0;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4
2026-05-31 15:23:48.46089+00;;6d29e4f8-7bd4-4ac8-9cc7-dbd4a1d7bd70;;Cotton Saree;;0;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-31 15:23:55.682693+00;;9bb2234b-9656-4929-b331-e9eca115015e;;Silk Saree;;0;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-31 15:26:06.99175+00;;62e30ad8-14e6-4ee2-87ca-8c0b000fe065;;Suit Sets- Unstitched;;0;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-05-31 15:26:25.648876+00;;72e3398c-6386-4fe0-9c14-7f2db80e9420;;Suit Sets- Readymade;;0;6cdeb4fd-d936-4241-bf7d-f3843048a703
2026-06-22 08:24:31.441164+00;burger for all burgers;0400d2a7-1c54-40ef-b629-2d968a1c1c0a;;Burger;;0;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3
2026-07-07 07:32:34.42767+00;;38327f28-e0ad-405d-ac47-cd067804c39b;;Electrical;;0;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-07-07 07:32:51.659989+00;;18ab194c-a0a0-4f99-908f-e62890482949;;bulb;38327f28-e0ad-405d-ac47-cd067804c39b;0;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-07-09 21:20:55.684715+00;;37e8ff9d-3172-43b6-9cfe-b11f6d60de6a;;Clothing;;0;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-07-09 21:21:04.866146+00;;a4bd7f1b-9d86-4387-af2c-a1be85e38014;;Clothing;;0;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-07-10 05:41:36.227582+00;;12093fcb-98e1-4c40-8a48-9a15ce6055bf;;TV;;0;309b2d56-2ed2-4705-b762-b80c8774bda6
2026-07-11 14:58:27.035689+00;coffee for all above age 11;522b2027-566d-4ddb-9d96-5fea2e026b0a;;Coffee;;0;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3
2026-07-13 07:14:46.324949+00;;ab09cb7d-9f59-49e0-9814-bd2d4b88fb73;;Milk;;0;a1766301-4cb4-4d3c-8f7f-ebdb87b3668b
2026-07-14 08:27:34.706539+00;;b55f6092-718d-455c-a14c-a1319183dc2c;;cold drink;;0;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3
2026-07-14 08:42:47.623894+00;;b7b568dc-af03-4ee3-8a31-3e187e5ea077;;Poster;;0;ea77b9a3-e14d-4418-8a44-bc5e0f25b9b3
2026-07-16 08:27:32.245919+00;;b5fcf284-9e11-4466-8f5b-c4b747367ca7;;Burger;;0;a6f7d2eb-1cbe-42f5-916b-79d33cc54bb3
2026-07-16 08:38:19.177464+00;;ce08dfad-d0d3-453a-9f29-87cdf4731a66;;Gum;;0;3079ef7e-9482-41c5-96b1-b06eba72b4d6
