completed_at;skipped;tour_key;user_id
2026-05-26 10:50:33.10083+00;false;wallet;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-26 10:50:46.234884+00;true;dashboard;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-26 11:05:47.061633+00;false;orders;2e1771a2-2f41-484f-a557-9a580d410543
2026-05-26 11:05:59.005849+00;true;products-list;2e1771a2-2f41-484f-a557-9a580d410543
2026-05-26 11:06:07.940443+00;true;dashboard;2e1771a2-2f41-484f-a557-9a580d410543
2026-05-26 11:07:44.780356+00;true;dashboard;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:07:57.528439+00;false;sourcing;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:08:27.887493+00;false;products-list;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:08:53.845291+00;false;categories;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:08:58.000762+00;false;orders;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:09:37.55823+00;false;customers;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:09:59.297738+00;false;coupons;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:10:10.260015+00;false;accounts;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:10:42.471779+00;false;blog;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:11:08.317769+00;false;seo;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:11:59.730801+00;false;analytics;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:12:25.54926+00;false;payments;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:13:56.619971+00;false;cod;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:14:26.514446+00;false;shipping;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:15:48.593881+00;false;domain;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:17:53.050978+00;false;wallet;c824674a-59b4-4605-956b-277393b6f62c
2026-05-26 11:59:55.088178+00;false;shipping;1c6bef8e-42e5-4cea-a1d2-9d15fd74fa14
2026-05-26 15:07:24.217677+00;false;dashboard;7446712a-cbd0-4e65-989c-1f07730237cf
2026-05-26 15:09:02.169666+00;false;products-list;7446712a-cbd0-4e65-989c-1f07730237cf
2026-05-26 15:09:10.916327+00;true;product-form;7446712a-cbd0-4e65-989c-1f07730237cf
2026-05-26 16:43:14.449626+00;true;dashboard;e029d0df-b2b8-43e6-bdaa-225541f40ac4
2026-05-26 16:48:54.415677+00;true;product-form;2e1771a2-2f41-484f-a557-9a580d410543
2026-05-26 16:52:29.086404+00;false;coupons;2e1771a2-2f41-484f-a557-9a580d410543
