action_key;cache_hit;created_at;credits;granted_by_admin;id;inr_value;manual_cost_inr;manual_minutes;metadata;promo_code;razorpay_order_id;razorpay_payment_id;reason;store_id;type
;false;2026-05-05 19:22:45.749438+00;1000;;b0325bd8-9a3c-4553-a0b9-e3a1acf6a502;99;0;0;"{""pack_id"":""dccef197-97fd-4ed1-93d8-1a982c9fb3b0""}";;order_SlnR9LzuXw5J6H;pay_SlnRjscLB5tfrF;Recharge — pack;247470d1-b5e6-4e13-b631-e701e2b03d8e;credit
;false;2026-05-07 11:37:19.087429+00;5000;;4a43cefc-0ac7-48de-931d-df17f1c3a972;0;0;0;{};;;;Testing credits granted to antarikshautomations@gmail.com (AI Cafe);fe5f46de-42e3-44c5-8538-3337ed057f4a;grant
generate-product;false;2026-05-07 11:39:14.435354+00;8;;51629374-07e3-43af-a6bb-9365c856a4ad;0.720;150;15;{};;;;;fe5f46de-42e3-44c5-8538-3337ed057f4a;debit
generate-product;false;2026-05-08 10:28:10.31141+00;8;;ec457206-7e16-4894-9a6c-3a1b4087b129;0.720;150;15;{};;;;;247470d1-b5e6-4e13-b631-e701e2b03d8e;debit
generate-product;false;2026-05-08 10:29:12.276148+00;8;;30dc1c6c-b1ed-4312-b5f6-152ff1c67c4d;0.720;150;15;{};;;;;247470d1-b5e6-4e13-b631-e701e2b03d8e;debit
generate-product;true;2026-05-08 10:51:59.728045+00;1;;eaa9f948-f6d5-4bce-9cec-b5fe78373208;0.090;150;15;{};;;;;247470d1-b5e6-4e13-b631-e701e2b03d8e;debit
;false;2026-05-19 17:45:42.783894+00;200;;0201d199-0a74-4dd5-a388-289ee3c57b6c;0;0;0;"{""note"":""testing"",""source"":""admin_grant""}";;;;Manual test grant — shivani.voices@gmail.com;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;grant
generate-product;false;2026-05-19 17:47:50.214226+00;8;;4b9ed749-8ac4-48e8-afa5-0e84e751830b;0.720;150;15;{};;;;;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;debit
generate-product;false;2026-05-19 17:49:38.276574+00;8;;09fc8929-e704-407f-8c6d-8382887a151a;0.720;150;15;{};;;;;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;debit
generate-product;false;2026-05-19 17:50:30.416897+00;8;;46d193e1-739b-46c4-89fb-06ce445106f2;0.720;150;15;{};;;;;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;debit
generate-product;false;2026-05-19 17:51:10.323326+00;8;;b0e04c3c-25fc-4f2e-a471-da3387324b95;0.720;150;15;{};;;;;d7ad0003-f8c1-4271-80aa-cfc42c1d25e4;debit
;false;2026-05-20 18:00:23.106718+00;100;;e2429455-3760-46e3-b98b-5d0dc26a7968;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;c6682c1f-f366-4196-9f96-8a394b3a5632;bonus
;false;2026-05-20 18:45:01.027539+00;100;;c1156429-64c2-49a7-b070-09458796ab49;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;d2b27614-f24d-42d6-9f49-a87df7443e0e;bonus
;false;2026-05-20 19:01:13.104663+00;100;;17f305ed-581f-40f1-b5b1-4566c2cd2479;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;b3b3c0e9-403c-4355-aa76-f7b9c35a0bdc;bonus
;false;2026-05-21 07:14:22.377998+00;100;;98218923-eee4-4fd7-bf96-48302928d521;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;25f81744-8f50-4795-a675-0df8386e07b4;bonus
generate-product;false;2026-05-21 07:16:18.623739+00;8;;642de49e-2a6b-4ee7-b3f2-5b859bfc54ec;0.720;150;15;{};;;;;25f81744-8f50-4795-a675-0df8386e07b4;debit
;false;2026-05-24 07:57:49.282233+00;100;;969d0214-ba48-48c9-aa89-7b845b904d99;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;bonus
generate-product;false;2026-05-24 08:03:07.899341+00;8;;9742e3aa-f3cb-42e0-b05a-c2867c3d6117;0.720;150;15;{};;;;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;debit
generate-product;false;2026-05-24 08:07:05.948314+00;8;;a327027e-b387-4219-86d9-7b77b8325d43;0.720;150;15;{};;;;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;debit
generate-product;false;2026-05-24 08:10:21.32134+00;8;;113c26bf-7e2f-4da3-82c1-4bb2f6e43971;0.720;150;15;{};;;;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;debit
generate-product;false;2026-05-24 08:16:37.63311+00;8;;72fbce4d-05f5-4de2-8527-c4dc505e0005;0.720;150;15;{};;;;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;debit
generate-product;false;2026-05-24 08:20:19.157419+00;8;;d2223397-8649-4c93-8175-ce5d940dc2a0;0.720;150;15;{};;;;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;debit
generate-product;false;2026-05-24 08:29:27.7152+00;8;;64aa98ce-5a0c-482d-8f3f-5fefce861596;0.720;150;15;{};;;;;3abc0b86-1a7f-4ceb-b52b-2164f84124ee;debit
;false;2026-05-24 08:29:53.235215+00;100;;aaaff820-d8c8-4766-b283-655b4cfa12be;0;0;0;"{""plan"":""free"",""source"":""signup_bonus""}";;;;Welcome bonus — Free plan;a4c8b82c-24e1-4555-9855-c9ce4bc5965d;bonus
